episode,global_steps,score,avg_score,epsilon
1,53,-1,-1.0,1.0
2,161,8,3.5,1.0
3,255,2,3.0,1.0
4,344,0,2.25,1.0
5,394,-1,1.6,1.0
6,531,1,1.5,0.9900473578023296
7,575,-1,1.1428571428571428,0.9684988314739038
8,725,2,1.25,0.8985016297353923
9,815,1,1.2222222222222223,0.8589556289224661
10,862,0,1.1,0.839000572940262
11,886,-1,0.9090909090909091,0.8289902453934568
12,955,1,0.9166666666666666,0.8008708999437769
13,1003,1,0.9230769230769231,0.7818741221529173
14,1035,0,0.8571428571428571,0.769460605580016
15,1097,0,0.8,0.7459674783559345
16,1152,0,0.75,0.7257278826406264
17,1266,6,1.0588235294117647,0.6855084820933602
18,1434,12,1.6666666666666667,0.6302646846440141
19,1498,6,1.894736842105263,0.6104106105969964
20,1526,0,1.8,0.6019222966674597
21,1610,7,2.0476190476190474,0.5771590383046616
22,1649,1,2.0,0.5660106993941509
23,1750,0,1.9130434782608696,0.5381300999186562
24,1865,7,2.125,0.5080531014578441
25,1905,0,2.04,0.49799048522941153
26,1943,1,2.0,0.4886156649965242
27,1987,-1,1.8888888888888888,0.4779808731972405
28,2049,-1,1.7857142857142858,0.46338718850010663
29,2109,6,1.9310344827586208,0.4496886535813294
30,2140,-1,1.8333333333333333,0.44277050396994433
31,2167,1,1.8064516129032258,0.4368317938746575
32,2227,1,1.78125,0.42391828281840016
33,2378,13,2.121212121212121,0.39308340906679284
34,2427,1,2.088235294117647,0.38356753197780247
35,2451,0,2.0285714285714285,0.3789910909654182
36,2497,-1,1.9444444444444444,0.3703716445315814
37,2590,5,2.027027027027027,0.35353953481839123
38,2622,1,2.0,0.3479265227614638
39,2676,4,2.051282051282051,0.33865590545700125
40,2723,6,2.15,0.3307883307831195
41,2749,1,2.1219512195121952,0.32651485183700946
42,2778,1,2.0952380952380953,0.3218133790906578
43,2802,0,2.046511627906977,0.3179737424592401
44,2840,0,2.0,0.3119877913964191
45,2876,1,1.9777777777777779,0.3064208719242619
46,2913,-1,1.9130434782608696,0.30080280851825225
47,2945,1,1.8936170212765957,0.29602707730664135
48,2976,-1,1.8333333333333333,0.29147290500649914
49,3010,1,1.816326530612245,0.2865585275168893
50,3054,-1,1.76,0.28032153902722823
51,3084,1,1.7450980392156863,0.2761470591249009
52,3135,5,1.8076923076923077,0.26919261643987724
53,3188,2,1.8113207547169812,0.2621509655999066
54,3234,3,1.8333333333333333,0.256188830184504
55,3258,-1,1.7818181818181817,0.2531321766056006
56,3293,2,1.7857142857142858,0.24873981065832462
