episode,global_steps,score,avg_score,epsilon
1,84,-1,-1.0,1.0
2,185,0,-0.5,1.0
3,235,-1,-0.6666666666666666,1.0
4,327,2,0.0,1.0
5,355,-1,-0.2,1.0
6,409,-1,-0.3333333333333333,1.0
7,453,0,-0.2857142857142857,1.0
8,554,0,-0.25,0.978724215058141
9,608,-1,-0.3333333333333333,0.952645784553907
10,666,0,-0.3,0.925409088442902
11,738,-1,-0.36363636363636365,0.8926788578425751
12,782,-1,-0.4166666666666667,0.873249571233752
13,842,-1,-0.46153846153846156,0.8474347881728043
14,907,-1,-0.5,0.8203292322946492
15,938,-1,-0.5333333333333333,0.8077090331537328
16,986,-1,-0.5625,0.7885500538181511
17,1013,-1,-0.5882352941176471,0.7779735359081715
18,1050,-1,-0.6111111111111112,0.7637098056815635
19,1094,-1,-0.631578947368421,0.747087549457845
20,1159,-1,-0.65,0.7231916419492961
21,1232,-1,-0.6666666666666666,0.697264710332416
22,1299,-1,-0.6818181818181818,0.6742876134897883
23,1332,-1,-0.6956521739130435,0.6632504156875374
24,1433,0,-0.6666666666666666,0.6305799746313298
25,1460,-1,-0.68,0.622122248500858
26,1482,-1,-0.6923076923076923,0.6153147118525827
27,1505,-1,-0.7037037037037037,0.6082773754464013
28,1606,0,-0.6785714285714286,0.5783148007230277
29,1629,-1,-0.6896551724137931,0.5717006312208744
30,1726,-1,-0.7,0.5446281963593743
31,1749,-1,-0.7096774193548387,0.5383992995684405
32,1780,-1,-0.71875,0.5301163978865424
33,1826,-1,-0.7272727272727273,0.5180598878413009
34,1868,-1,-0.7352941176470589,0.5072914027819768
35,1901,-1,-0.7428571428571429,0.49898771242214973
36,1928,-1,-0.75,0.4922949825799048
37,1958,-1,-0.7567567567567568,0.48496384592188013
38,1984,-1,-0.7631578947368421,0.47869856207627054
39,2019,-1,-0.7692307692307693,0.47039215357748143
40,2048,-1,-0.775,0.46361899799910616
41,2087,-1,-0.7804878048780488,0.4546637857057534
42,2126,-1,-0.7857142857142857,0.445881551283379
43,2149,-1,-0.7906976744186046,0.44078201699101033
44,2180,-1,-0.7954545454545454,0.43400088983721985
45,2219,-1,-0.8,0.42561777758174696
46,2280,-1,-0.8043478260869565,0.4128292545539354
47,2348,-1,-0.8085106382978723,0.39902560086955063
48,2383,-1,-0.8125,0.39210168276141727
49,2413,-1,-0.8163265306122449,0.38626260025624704
50,2442,-1,-0.82,0.38070082235296737
51,2491,-1,-0.8235294117647058,0.37148470651183096
52,2592,0,-0.8076923076923077,0.3531860836684566
53,2693,0,-0.7924528301886793,0.33578881582596026
54,2794,0,-0.7777777777777778,0.3192485039689313
55,2895,0,-0.7636363636363637,0.30352293609214764
56,2992,-1,-0.7678571428571429,0.2891498455836096
57,3024,0,-0.7543859649122807,0.2845591240102692
58,3125,0,-0.7413793103448276,0.27054228833539584
59,3244,0,-0.7288135593220338,0.25491076431844917
60,3311,-1,-0.7333333333333333,0.24651064133620196
61,3411,-1,-0.7377049180327869,0.23448524343027585
62,3512,0,-0.7258064516129032,0.22293495089695248
63,3652,0,-0.7142857142857143,0.20785953167073312
64,3751,-1,-0.71875,0.1978185396229746
65,3931,2,-0.676923076923077,0.1807884632436123
66,4002,0,-0.6666666666666666,0.17448150691629763
67,4216,5,-0.582089552238806,0.15677191832298015
68,4277,0,-0.5735294117647058,0.15206139777334782
69,4362,0,-0.5652173913043478,0.14573264486585208
70,4414,0,-0.5571428571428572,0.14199150633873392
71,4588,2,-0.5211267605633803,0.1301575297340934
72,4647,1,-0.5,0.12637303226099805
73,4748,0,-0.4931506849315068,0.12014813951472321
74,4848,1,-0.47297297297297297,0.1142870165324064
75,4967,6,-0.38666666666666666,0.1076836856640848
76,5064,6,-0.3026315789473684,0.10258440921311834
77,5157,6,-0.22077922077922077,0.1
78,5559,13,-0.05128205128205128,0.1
79,5658,6,0.02531645569620253,0.1
80,5806,7,0.1125,0.1
81,5919,6,0.18518518518518517,0.1
82,6027,6,0.25609756097560976,0.1
83,6126,6,0.3253012048192771,0.1
84,6221,7,0.40476190476190477,0.1
85,6313,6,0.47058823529411764,0.1
86,6343,-1,0.45348837209302323,0.1
87,6424,5,0.5057471264367817,0.1
88,6531,5,0.5568181818181818,0.1
89,6643,6,0.6179775280898876,0.1
90,6720,0,0.6111111111111112,0.1
91,6834,5,0.6593406593406593,0.1
92,7083,6,0.717391304347826,0.1
93,7290,6,0.7741935483870968,0.1
94,7400,6,0.8297872340425532,0.1
95,7499,5,0.8736842105263158,0.1
96,7630,6,0.9270833333333334,0.1
97,7745,6,0.979381443298969,0.1
98,7923,6,1.030612244897959,0.1
99,8044,5,1.0707070707070707,0.1
100,8150,6,1.12,0.1
101,8254,7,1.2,0.1
102,8362,6,1.26,0.1
103,8474,6,1.33,0.1
104,8590,6,1.37,0.1
105,8697,6,1.44,0.1
106,8842,6,1.51,0.1
107,8933,6,1.57,0.1
108,9020,7,1.64,0.1
109,9155,7,1.72,0.1
110,9291,7,1.79,0.1
111,9423,7,1.87,0.1
112,9544,7,1.95,0.1
113,9642,7,2.03,0.1
114,9693,1,2.05,0.1
115,9781,6,2.12,0.1
116,9896,7,2.2,0.1
117,9967,7,2.28,0.1
118,10050,6,2.35,0.1
119,10124,6,2.42,0.1
120,10224,5,2.48,0.1
121,10295,6,2.55,0.1
122,10369,5,2.61,0.1
123,10432,5,2.67,0.1
124,10533,7,2.74,0.1
125,10591,6,2.81,0.1
126,10666,5,2.87,0.1
127,10743,6,2.94,0.1
128,10807,5,2.99,0.1
129,10878,6,3.06,0.1
130,10956,7,3.14,0.1
131,11032,6,3.21,0.1
132,11092,6,3.28,0.1
133,11178,6,3.35,0.1
134,11262,6,3.42,0.1
135,11324,4,3.47,0.1
136,11403,5,3.53,0.1
137,11498,6,3.6,0.1
138,11629,6,3.67,0.1
139,11710,6,3.74,0.1
140,11785,6,3.81,0.1
141,11867,5,3.87,0.1
142,11952,5,3.93,0.1
143,12012,5,3.99,0.1
144,12076,6,4.06,0.1
145,12136,5,4.12,0.1
146,12191,5,4.18,0.1
147,12257,6,4.25,0.1
148,12319,6,4.32,0.1
149,12377,5,4.38,0.1
150,12443,5,4.44,0.1
151,12514,5,4.5,0.1
152,12586,8,4.58,0.1
153,12636,5,4.63,0.1
154,12728,6,4.69,0.1
155,12806,5,4.74,0.1
156,12868,5,4.8,0.1
157,12934,6,4.86,0.1
158,12995,6,4.92,0.1
159,13067,5,4.97,0.1
160,13168,0,4.98,0.1
161,13240,7,5.06,0.1
162,13295,5,5.11,0.1
163,13353,4,5.15,0.1
164,13437,6,5.22,0.1
165,13515,8,5.28,0.1
166,13585,6,5.34,0.1
167,13644,5,5.34,0.1
168,13699,5,5.39,0.1
169,13754,6,5.45,0.1
170,13810,5,5.5,0.1
171,13870,5,5.53,0.1
172,13961,5,5.57,0.1
173,14043,5,5.62,0.1
174,14097,5,5.66,0.1
175,14194,10,5.7,0.1
176,14265,4,5.68,0.1
177,14335,6,5.68,0.1
178,14398,5,5.6,0.1
179,14457,6,5.6,0.1
180,14505,5,5.58,0.1
181,14583,6,5.58,0.1
182,14629,0,5.52,0.1
183,14703,5,5.51,0.1
184,14769,6,5.5,0.1
185,14832,4,5.48,0.1
186,14899,5,5.54,0.1
187,14959,0,5.49,0.1
188,14976,0,5.44,0.1
189,15050,5,5.43,0.1
190,15134,5,5.48,0.1
191,15180,5,5.48,0.1
192,15258,5,5.47,0.1
193,15311,6,5.47,0.1
194,15365,5,5.46,0.1
195,15415,4,5.45,0.1
196,15489,5,5.44,0.1
197,15582,5,5.43,0.1
198,15635,5,5.42,0.1
199,15718,5,5.42,0.1
