episode,global_steps,score,avg_score,epsilon,avg_max_q
1,52,52,0,0.0,1.0,nan
2,35,87,0,0.0,1.0,nan
3,101,188,0,0.0,1.0,nan
4,90,278,0,0.0,1.0,nan
5,98,376,-1,-0.2,1.0,nan
6,84,460,-1,-0.3333333333333333,1.0,nan
7,36,496,1,-0.14285714285714285,1.0,nan
8,38,534,-1,-0.25,1.0,nan
9,54,588,0,-0.2222222222222222,1.0,nan
10,35,623,-1,-0.3,1.0,nan
11,35,658,-1,-0.36363636363636365,1.0,nan
12,60,718,-1,-0.4166666666666667,1.0,nan
13,59,777,-1,-0.46153846153846156,1.0,nan
14,71,848,-1,-0.5,1.0,nan
15,24,872,-1,-0.5333333333333333,1.0,nan
16,145,1017,1,-0.4375,1.0,nan
17,61,1078,-1,-0.47058823529411764,1.0,nan
18,31,1109,-1,-0.5,1.0,nan
19,46,1155,-1,-0.5263157894736842,1.0,nan
20,65,1220,0,-0.5,1.0,nan
21,64,1284,-1,-0.5238095238095238,1.0,nan
22,54,1338,-1,-0.5454545454545454,1.0,nan
23,101,1439,0,-0.5217391304347826,1.0,nan
24,96,1535,-1,-0.5416666666666666,1.0,nan
25,101,1636,0,-0.52,1.0,nan
26,98,1734,-1,-0.5384615384615384,1.0,nan
27,50,1784,-1,-0.5555555555555556,1.0,nan
28,101,1885,0,-0.5357142857142857,1.0,nan
29,62,1947,-1,-0.5517241379310345,1.0,nan
30,92,2039,0,-0.5333333333333333,1.0,nan
31,94,2133,0,-0.5161290322580645,1.0,nan
32,77,2210,0,-0.5,1.0,nan
33,38,2248,-1,-0.5151515151515151,1.0,nan
34,57,2305,1,-0.47058823529411764,1.0,nan
35,66,2371,-1,-0.4857142857142857,1.0,nan
36,101,2472,0,-0.4722222222222222,1.0,nan
37,110,2582,0,-0.4594594594594595,1.0,nan
38,112,2694,1,-0.42105263157894735,1.0,nan
39,71,2765,-1,-0.4358974358974359,1.0,nan
40,67,2832,0,-0.425,1.0,nan
41,26,2858,-1,-0.43902439024390244,1.0,nan
42,56,2914,-1,-0.4523809523809524,1.0,nan
43,33,2947,-1,-0.46511627906976744,1.0,nan
44,69,3016,-1,-0.4772727272727273,1.0,nan
45,101,3117,0,-0.4666666666666667,1.0,nan
46,101,3218,0,-0.45652173913043476,1.0,nan
47,101,3319,0,-0.44680851063829785,1.0,nan
48,101,3420,0,-0.4375,1.0,nan
49,101,3521,0,-0.42857142857142855,1.0,nan
50,28,3549,-1,-0.44,1.0,nan
51,42,3591,-1,-0.45098039215686275,1.0,nan
52,104,3695,0,-0.4423076923076923,1.0,nan
53,101,3796,0,-0.4339622641509434,1.0,nan
54,38,3834,-1,-0.4444444444444444,1.0,nan
55,47,3881,-1,-0.45454545454545453,1.0,nan
56,101,3982,0,-0.44642857142857145,1.0,nan
57,75,4057,-1,-0.45614035087719296,1.0,nan
58,39,4096,-1,-0.46551724137931033,1.0,nan
59,101,4197,0,-0.4576271186440678,1.0,nan
60,58,4255,1,-0.43333333333333335,1.0,nan
61,97,4352,-1,-0.4426229508196721,1.0,nan
62,133,4485,2,-0.4032258064516129,1.0,nan
63,54,4539,-1,-0.4126984126984127,1.0,nan
64,56,4595,-1,-0.421875,1.0,nan
65,52,4647,1,-0.4,1.0,nan
66,40,4687,0,-0.3939393939393939,1.0,nan
67,46,4733,-1,-0.40298507462686567,1.0,nan
68,101,4834,0,-0.39705882352941174,1.0,nan
69,101,4935,0,-0.391304347826087,1.0,nan
70,82,5017,-1,-0.4,1.0,nan
71,26,5043,-1,-0.4084507042253521,1.0,nan
72,41,5084,1,-0.3888888888888889,1.0,nan
73,72,5156,-1,-0.3972602739726027,1.0,nan
74,39,5195,-1,-0.40540540540540543,1.0,nan
75,49,5244,0,-0.4,1.0,nan
76,43,5287,-1,-0.40789473684210525,1.0,nan
77,101,5388,0,-0.4025974025974026,1.0,nan
78,70,5458,0,-0.3974358974358974,1.0,nan
79,35,5493,-1,-0.4050632911392405,1.0,nan
80,101,5594,0,-0.4,1.0,nan
81,68,5662,-1,-0.4074074074074074,1.0,nan
82,80,5742,-1,-0.4146341463414634,1.0,nan
83,33,5775,-1,-0.42168674698795183,1.0,nan
84,101,5876,0,-0.4166666666666667,1.0,nan
85,46,5922,-1,-0.4235294117647059,1.0,nan
86,101,6023,0,-0.4186046511627907,1.0,nan
87,101,6124,0,-0.41379310344827586,1.0,nan
88,48,6172,1,-0.3977272727272727,1.0,nan
89,101,6273,0,-0.39325842696629215,1.0,nan
90,83,6356,2,-0.36666666666666664,1.0,nan
91,38,6394,-1,-0.37362637362637363,1.0,nan
92,101,6495,0,-0.3695652173913043,1.0,nan
93,101,6596,0,-0.3655913978494624,1.0,nan
94,30,6626,-1,-0.3723404255319149,1.0,nan
95,81,6707,-1,-0.37894736842105264,1.0,nan
96,101,6808,0,-0.375,1.0,nan
97,91,6899,-1,-0.38144329896907214,1.0,nan
98,49,6948,-1,-0.3877551020408163,1.0,nan
99,101,7049,0,-0.3838383838383838,1.0,nan
100,85,7134,-1,-0.39,1.0,nan
101,101,7235,0,-0.39,1.0,nan
102,97,7332,1,-0.38,1.0,nan
103,34,7366,0,-0.38,1.0,nan
104,53,7419,-1,-0.39,1.0,nan
105,50,7469,-1,-0.39,1.0,nan
106,74,7543,-1,-0.39,1.0,nan
107,100,7643,-1,-0.41,1.0,nan
108,32,7675,-1,-0.41,1.0,nan
109,37,7712,0,-0.41,1.0,nan
110,75,7787,-1,-0.41,1.0,nan
111,27,7814,-1,-0.41,1.0,nan
112,55,7869,-1,-0.41,1.0,nan
113,32,7901,-1,-0.41,1.0,nan
114,30,7931,0,-0.4,1.0,nan
115,39,7970,-1,-0.4,1.0,nan
116,101,8071,0,-0.41,1.0,nan
117,28,8099,-1,-0.41,1.0,nan
118,74,8173,-1,-0.41,1.0,nan
119,93,8266,0,-0.4,1.0,nan
120,101,8367,0,-0.4,1.0,nan
121,34,8401,-1,-0.4,1.0,nan
122,29,8430,-1,-0.4,1.0,nan
123,101,8531,0,-0.4,1.0,nan
124,101,8632,0,-0.39,1.0,nan
125,60,8692,-1,-0.4,1.0,nan
126,40,8732,-1,-0.4,1.0,nan
127,57,8789,-1,-0.4,1.0,nan
128,99,8888,-1,-0.41,1.0,nan
129,62,8950,-1,-0.41,1.0,nan
130,56,9006,-1,-0.42,1.0,nan
131,68,9074,1,-0.41,1.0,nan
132,45,9119,0,-0.41,1.0,nan
133,158,9277,2,-0.38,1.0,nan
134,82,9359,-1,-0.4,1.0,nan
135,50,9409,-1,-0.4,1.0,nan
136,160,9569,2,-0.38,1.0,nan
137,72,9641,-1,-0.39,1.0,nan
138,75,9716,-1,-0.41,1.0,nan
139,36,9752,-1,-0.41,1.0,nan
140,24,9776,0,-0.41,1.0,nan
141,47,9823,-1,-0.41,1.0,nan
142,42,9865,-1,-0.41,1.0,nan
143,95,9960,2,-0.38,1.0,nan
144,101,10061,0,-0.37,1.0,nan
145,57,10118,0,-0.37,1.0,nan
146,55,10173,0,-0.37,1.0,nan
147,97,10270,-1,-0.38,1.0,nan
148,83,10353,-1,-0.39,1.0,nan
149,55,10408,-1,-0.4,1.0,nan
150,101,10509,0,-0.39,1.0,nan
151,64,10573,-1,-0.39,1.0,nan
152,64,10637,-1,-0.4,1.0,nan
153,101,10738,0,-0.4,1.0,nan
154,70,10808,-1,-0.4,1.0,nan
155,87,10895,-1,-0.4,1.0,nan
156,101,10996,0,-0.4,1.0,nan
157,57,11053,-1,-0.4,1.0,nan
158,101,11154,0,-0.39,1.0,nan
159,36,11190,0,-0.39,1.0,nan
160,55,11245,-1,-0.41,1.0,nan
161,73,11318,0,-0.4,1.0,nan
162,26,11344,-1,-0.43,1.0,nan
163,27,11371,-1,-0.43,1.0,nan
164,79,11450,-1,-0.43,1.0,nan
165,100,11550,0,-0.44,1.0,nan
166,86,11636,-1,-0.45,1.0,nan
167,65,11701,-1,-0.45,1.0,nan
168,104,11805,4,-0.41,1.0,nan
169,54,11859,-1,-0.42,1.0,nan
170,31,11890,-1,-0.42,1.0,nan
171,39,11929,-1,-0.42,1.0,nan
172,45,11974,0,-0.43,1.0,nan
173,43,12017,-1,-0.43,1.0,nan
174,155,12172,2,-0.4,1.0,nan
175,44,12216,-1,-0.41,1.0,nan
176,48,12264,-1,-0.41,1.0,nan
177,74,12338,-1,-0.42,1.0,nan
178,101,12439,0,-0.42,1.0,nan
179,135,12574,5,-0.36,0.9997336000000006,0.08811909
180,46,12620,1,-0.35,0.9995680000000009,0.11920737
181,68,12688,-1,-0.35,0.9993232000000014,0.15149729
182,54,12742,-1,-0.35,0.9991288000000018,0.17747487
183,25,12767,-1,-0.35,0.999038800000002,0.19592683
184,39,12806,-1,-0.36,0.9988984000000023,0.2373948
185,48,12854,-1,-0.36,0.9987256000000027,0.31270182
186,81,12935,-1,-0.37,0.9984340000000033,0.52539706
187,163,13098,1,-0.36,0.9978472000000045,1.0393853
188,55,13153,0,-0.37,0.9976492000000049,1.1012132
189,88,13241,-1,-0.38,0.9973324000000056,1.1684414
190,67,13308,-1,-0.41,0.9970912000000061,1.17791
191,59,13367,0,-0.4,0.9968788000000065,1.172104
192,38,13405,-1,-0.41,0.9967420000000068,1.1631317
193,59,13464,-1,-0.42,0.9965296000000072,1.1628807
194,65,13529,-1,-0.42,0.9962956000000077,1.1556756
195,158,13687,1,-0.4,0.9957268000000089,1.1672745
196,47,13734,-1,-0.41,0.9955576000000093,1.1696134
197,43,13777,-1,-0.41,0.9954028000000096,1.1668278
198,52,13829,0,-0.4,0.99521560000001,1.1706829
199,100,13929,-1,-0.41,0.9948556000000107,1.1695988
200,117,14046,2,-0.38,0.9944344000000116,1.1685922
201,43,14089,-1,-0.39,0.9942796000000119,1.1687876
202,55,14144,-1,-0.41,0.9940816000000123,1.1699815
203,38,14182,-1,-0.42,0.9939448000000126,1.1702261
204,116,14298,0,-0.41,0.9935272000000135,1.1684741
205,37,14335,0,-0.4,0.9933940000000138,1.1662114
206,101,14436,0,-0.39,0.9930304000000145,1.1699773
207,100,14536,-1,-0.39,0.9926704000000153,1.1690884
208,101,14637,0,-0.38,0.992306800000016,1.1646091
209,107,14744,3,-0.35,0.9919216000000168,1.1686966
210,62,14806,-1,-0.35,0.9916984000000173,1.170542
211,82,14888,-1,-0.35,0.9914032000000179,1.1669307
212,68,14956,0,-0.34,0.9911584000000184,1.17503
213,101,15057,0,-0.33,0.9907948000000192,1.1723392
214,91,15148,0,-0.33,0.9904672000000199,1.1747501
215,70,15218,1,-0.31,0.9902152000000204,1.162488
216,84,15302,3,-0.28,0.989912800000021,1.1673136
217,84,15386,-1,-0.28,0.9896104000000217,1.172919
218,40,15426,-1,-0.28,0.989466400000022,1.1753438
219,37,15463,0,-0.28,0.9893332000000222,1.1663952
220,31,15494,-1,-0.29,0.9892216000000225,1.1684644
221,75,15569,0,-0.28,0.988951600000023,1.1672919
222,141,15710,1,-0.26,0.9884440000000241,1.1709455
223,65,15775,-1,-0.27,0.9882100000000246,1.1711371
224,60,15835,-1,-0.28,0.987994000000025,1.1756283
225,38,15873,-1,-0.28,0.9878572000000253,1.169764
226,58,15931,-1,-0.28,0.9876484000000257,1.1722395
227,63,15994,-1,-0.28,0.9874216000000262,1.1713711
228,75,16069,-1,-0.28,0.9871516000000268,1.1604781
229,92,16161,-1,-0.28,0.9868204000000275,1.1699017
230,101,16262,0,-0.27,0.9864568000000282,1.168143
231,37,16299,0,-0.28,0.9863236000000285,1.167776
232,78,16377,-1,-0.29,0.9860428000000291,1.1700244
233,41,16418,-1,-0.32,0.9858952000000294,1.1645942
234,40,16458,-1,-0.32,0.9857512000000297,1.1649903
235,53,16511,0,-0.31,0.9855604000000301,1.1599889
236,51,16562,-1,-0.34,0.9853768000000305,1.1673641
237,48,16610,-1,-0.34,0.9852040000000308,1.1696652
238,40,16650,-1,-0.34,0.9850600000000311,1.1694744
239,93,16743,-1,-0.34,0.9847252000000318,1.170272
240,38,16781,-1,-0.35,0.9845884000000321,1.1644826
241,33,16814,-1,-0.35,0.9844696000000324,1.1682973
242,36,16850,-1,-0.35,0.9843400000000326,1.1748358
243,101,16951,0,-0.37,0.9839764000000334,1.1686287
244,33,16984,-1,-0.38,0.9838576000000336,1.1726716
245,76,17060,0,-0.38,0.9835840000000342,1.1586105
246,34,17094,-1,-0.39,0.9834616000000345,1.1652756
247,101,17195,0,-0.38,0.9830980000000352,1.1645346
248,79,17274,-1,-0.38,0.9828136000000358,1.1738905
249,51,17325,-1,-0.38,0.9826300000000362,1.174171
250,43,17368,0,-0.38,0.9824752000000365,1.1659478
251,83,17451,0,-0.37,0.9821764000000371,1.1735653
252,61,17512,-1,-0.37,0.9819568000000376,1.1659276
253,52,17564,0,-0.37,0.981769600000038,1.1680694
254,101,17665,0,-0.36,0.9814060000000387,1.1621522
255,101,17766,0,-0.35,0.9810424000000395,1.1713891
256,84,17850,-1,-0.36,0.9807400000000401,1.1704422
257,77,17927,-1,-0.36,0.9804628000000407,1.1600173
258,34,17961,-1,-0.37,0.980340400000041,1.1593657
259,88,18049,0,-0.37,0.9800236000000416,1.1635134
260,71,18120,-1,-0.37,0.9797680000000422,1.1775883
261,89,18209,-1,-0.38,0.9794476000000428,1.1719985
262,101,18310,0,-0.37,0.9790840000000436,1.1662322
263,35,18345,-1,-0.37,0.9789580000000438,1.1664348
264,101,18446,2,-0.34,0.9785944000000446,1.1620638
265,85,18531,1,-0.33,0.9782884000000452,1.1658179
266,62,18593,0,-0.32,0.9780652000000457,1.1624813
267,90,18683,-1,-0.32,0.9777412000000464,1.1677034
268,89,18772,-1,-0.37,0.977420800000047,1.1673834
269,73,18845,-1,-0.37,0.9771580000000476,1.1744914
270,32,18877,-1,-0.37,0.9770428000000478,1.1721088
271,146,19023,1,-0.35,0.9765172000000489,1.1673486
272,101,19124,0,-0.35,0.9761536000000497,1.1681714
273,43,19167,-1,-0.35,0.97599880000005,1.1694319
274,40,19207,-1,-0.38,0.9758548000000503,1.1754539
275,101,19308,0,-0.37,0.9754912000000511,1.1746999
276,30,19338,-1,-0.37,0.9753832000000513,1.161458
277,34,19372,0,-0.36,0.9752608000000516,1.1652837
278,29,19401,-1,-0.37,0.9751564000000518,1.1725509
279,63,19464,-1,-0.43,0.9749296000000522,1.172058
280,64,19528,0,-0.44,0.9746992000000527,1.1662798
281,101,19629,0,-0.43,0.9743356000000535,1.1687977
282,53,19682,0,-0.42,0.9741448000000539,1.1615053
283,40,19722,-1,-0.42,0.9740008000000542,1.1730592
284,101,19823,0,-0.41,0.9736372000000549,1.1823785
285,55,19878,0,-0.4,0.9734392000000553,1.162971
286,101,19979,0,-0.39,0.9730756000000561,1.170418
287,64,20043,-1,-0.41,0.9728452000000566,1.1837336
288,32,20075,1,-0.4,0.9727300000000568,1.177022
289,56,20131,-1,-0.4,0.9725284000000572,1.1743599
290,32,20163,-1,-0.4,0.9724132000000575,1.1807375
291,59,20222,-1,-0.41,0.9722008000000579,1.1719574
292,66,20288,-1,-0.41,0.9719632000000584,1.1672357
293,88,20376,-1,-0.41,0.9716464000000591,1.180987
294,94,20470,-1,-0.41,0.9713080000000598,1.1711802
295,82,20552,0,-0.42,0.9710128000000604,1.1715572
296,42,20594,-1,-0.42,0.9708616000000607,1.1740799
297,33,20627,-1,-0.42,0.970742800000061,1.1833322
298,70,20697,-1,-0.43,0.9704908000000615,1.1851141
299,69,20766,1,-0.41,0.970242400000062,1.1873971
300,52,20818,0,-0.43,0.9700552000000624,1.184629
301,101,20919,0,-0.42,0.9696916000000632,1.1752445
302,48,20967,-1,-0.42,0.9695188000000635,1.16633
303,39,21006,-1,-0.42,0.9693784000000638,1.172477
304,51,21057,0,-0.42,0.9691948000000642,1.169781
305,44,21101,-1,-0.43,0.9690364000000645,1.1816128
306,56,21157,-1,-0.44,0.9688348000000649,1.1836003
307,29,21186,-1,-0.44,0.9687304000000652,1.1626067
308,70,21256,-1,-0.45,0.9684784000000657,1.1793404
309,74,21330,-1,-0.49,0.9682120000000662,1.1628062
310,49,21379,-1,-0.49,0.9680356000000666,1.1782529
311,39,21418,-1,-0.49,0.9678952000000669,1.1726298
312,28,21446,0,-0.49,0.9677944000000671,1.1754125
313,37,21483,-1,-0.5,0.9676612000000674,1.1832167
314,64,21547,-1,-0.51,0.9674308000000679,1.1738653
315,73,21620,-1,-0.53,0.9671680000000684,1.1746287
316,48,21668,-1,-0.57,0.9669952000000688,1.1724918
317,101,21769,0,-0.56,0.9666316000000695,1.1799442
318,35,21804,-1,-0.56,0.9665056000000698,1.1712265
319,66,21870,0,-0.56,0.9662680000000703,1.1765356
320,66,21936,0,-0.55,0.9660304000000708,1.173009
321,47,21983,-1,-0.56,0.9658612000000711,1.1766269
322,24,22007,-1,-0.58,0.9657748000000713,1.1794317
323,61,22068,-1,-0.58,0.9655552000000718,1.1591471
324,35,22103,-1,-0.58,0.965429200000072,1.1816448
325,32,22135,-1,-0.58,0.9653140000000723,1.1865001
326,37,22172,-1,-0.58,0.9651808000000726,1.1801608
327,53,22225,-1,-0.58,0.964990000000073,1.1662366
328,101,22326,0,-0.57,0.9646264000000737,1.1682088
329,76,22402,-1,-0.57,0.9643528000000743,1.1709979
330,54,22456,-1,-0.58,0.9641584000000747,1.1754656
331,61,22517,-1,-0.59,0.9639388000000751,1.1761317
332,35,22552,-1,-0.59,0.9638128000000754,1.1833873
333,38,22590,0,-0.58,0.9636760000000757,1.1681633
334,101,22691,0,-0.57,0.9633124000000765,1.172565
335,56,22747,-1,-0.58,0.9631108000000769,1.182909
336,101,22848,0,-0.57,0.9627472000000776,1.1629374
337,78,22926,-1,-0.57,0.9624664000000782,1.1797657
338,93,23019,-1,-0.57,0.9621316000000789,1.1682183
339,41,23060,-1,-0.57,0.9619840000000792,1.1709398
340,101,23161,0,-0.56,0.96162040000008,1.1786015
341,101,23262,0,-0.55,0.9612568000000807,1.1699423
342,78,23340,0,-0.54,0.9609760000000813,1.1713951
343,38,23378,0,-0.54,0.9608392000000816,1.1763412
344,142,23520,3,-0.5,0.9603280000000827,1.1663541
345,60,23580,-1,-0.51,0.9601120000000831,1.1803771
346,101,23681,0,-0.5,0.9597484000000839,1.1838713
347,42,23723,-1,-0.51,0.9595972000000842,1.1744807
348,72,23795,-1,-0.51,0.9593380000000847,1.1751649
349,31,23826,-1,-0.51,0.959226400000085,1.1695721
350,99,23925,1,-0.5,0.9588700000000857,1.177505
351,80,24005,1,-0.49,0.9585820000000863,1.1624606
352,73,24078,-1,-0.49,0.9583192000000869,1.1603637
353,79,24157,1,-0.48,0.9580348000000874,1.1729121
354,79,24236,0,-0.48,0.957750400000088,1.1724787
355,64,24300,2,-0.46,0.9575200000000885,1.1740423
356,101,24401,0,-0.45,0.9571564000000893,1.1641381
357,104,24505,2,-0.42,0.9567820000000901,1.1771799
358,49,24554,-1,-0.42,0.9566056000000904,1.1706297
359,65,24619,-1,-0.43,0.9563716000000909,1.1795516
360,101,24720,0,-0.42,0.9560080000000917,1.178862
361,101,24821,0,-0.41,0.9556444000000924,1.1778429
362,37,24858,0,-0.41,0.9555112000000927,1.165957
363,36,24894,0,-0.4,0.955381600000093,1.1649244
364,50,24944,-1,-0.43,0.9552016000000934,1.1738927
365,39,24983,-1,-0.45,0.9550612000000936,1.1674652
366,75,25058,-1,-0.46,0.9547912000000942,1.1837305
367,73,25131,-1,-0.46,0.9545284000000948,1.1703655
368,65,25196,-1,-0.46,0.9542944000000952,1.1677089
369,63,25259,-1,-0.46,0.9540676000000957,1.1748326
370,46,25305,0,-0.45,0.9539020000000961,1.1894305
371,36,25341,-1,-0.47,0.9537724000000963,1.1723349
372,26,25367,-1,-0.48,0.9536788000000965,1.168601
373,53,25420,-1,-0.48,0.9534880000000969,1.1764114
374,29,25449,-1,-0.48,0.9533836000000971,1.1837326
375,91,25540,-1,-0.49,0.9530560000000978,1.1748312
376,31,25571,-1,-0.49,0.9529444000000981,1.1780937
377,31,25602,-1,-0.5,0.9528328000000983,1.1768985
378,112,25714,0,-0.49,0.9524296000000991,1.169488
379,101,25815,0,-0.48,0.9520660000000999,1.1765573
380,53,25868,1,-0.47,0.9518752000001003,1.1747278
381,32,25900,-1,-0.48,0.9517600000001005,1.1818062
382,113,26013,3,-0.45,0.9513532000001014,1.1711555
383,157,26170,1,-0.43,0.9507880000001026,1.1784639
384,101,26271,0,-0.43,0.9504244000001033,1.1598903
385,51,26322,-1,-0.44,0.9502408000001037,1.1835992
386,122,26444,0,-0.44,0.9498016000001046,1.1729764
387,106,26550,0,-0.43,0.9494200000001054,1.1898117
388,73,26623,-1,-0.45,0.949157200000106,1.1678071
389,41,26664,0,-0.44,0.9490096000001063,1.1689928
390,101,26765,0,-0.43,0.948646000000107,1.1800718
391,97,26862,0,-0.42,0.9482968000001077,1.1811678
392,80,26942,-1,-0.42,0.9480088000001083,1.1821461
393,36,26978,0,-0.41,0.9478792000001086,1.1633837
394,101,27079,0,-0.4,0.9475156000001094,1.1751473
395,22,27101,-1,-0.41,0.9474364000001095,1.1755702
396,85,27186,-1,-0.41,0.9471304000001102,1.1694577
397,54,27240,-1,-0.41,0.9469360000001106,1.1754233
398,75,27315,-1,-0.41,0.9466660000001111,1.177531
399,41,27356,0,-0.42,0.9465184000001114,1.1703761
400,51,27407,-1,-0.43,0.9463348000001118,1.1695365
401,29,27436,-1,-0.44,0.946230400000112,1.1819266
402,61,27497,-1,-0.44,0.9460108000001125,1.179595
403,27,27524,-1,-0.44,0.9459136000001127,1.1667521
404,40,27564,0,-0.44,0.945769600000113,1.1743393
405,26,27590,-1,-0.44,0.9456760000001132,1.1741636
406,91,27681,0,-0.43,0.9453484000001139,1.1729898
407,28,27709,0,-0.42,0.9452476000001141,1.1683741
408,47,27756,-1,-0.42,0.9450784000001144,1.1623852
409,61,27817,-1,-0.42,0.9448588000001149,1.1644839
410,35,27852,-1,-0.42,0.9447328000001152,1.1758454
411,127,27979,1,-0.4,0.9442756000001161,1.1819377
412,39,28018,-1,-0.41,0.9441352000001164,1.1789944
413,56,28074,1,-0.39,0.9439336000001168,1.1727493
414,33,28107,0,-0.38,0.9438148000001171,1.1744597
415,225,28332,4,-0.33,0.9430048000001188,1.1715703
416,107,28439,1,-0.31,0.9426196000001196,1.1758722
417,119,28558,0,-0.31,0.9421912000001205,1.1688783
418,59,28617,-1,-0.31,0.9419788000001209,1.1723871
419,49,28666,-1,-0.32,0.9418024000001213,1.1795875
420,84,28750,0,-0.32,0.9415000000001219,1.1693609
421,107,28857,0,-0.31,0.9411148000001227,1.1747438
422,75,28932,0,-0.3,0.9408448000001233,1.1776352
423,59,28991,1,-0.28,0.9406324000001237,1.180465
424,70,29061,-1,-0.28,0.9403804000001242,1.1666137
425,90,29151,0,-0.27,0.9400564000001249,1.172627
426,101,29252,2,-0.24,0.9396928000001257,1.1726644
427,63,29315,-1,-0.24,0.9394660000001261,1.17537
428,42,29357,0,-0.24,0.9393148000001265,1.1690314
429,52,29409,0,-0.23,0.9391276000001268,1.1716931
430,93,29502,1,-0.21,0.9387928000001275,1.1775441
431,58,29560,1,-0.19,0.938584000000128,1.1728235
432,101,29661,-1,-0.19,0.9382204000001287,1.1734657
433,94,29755,1,-0.18,0.9378820000001294,1.1685052
